city,Cement(kg),Steel(kg),Timber(kg),Brick(kg),Gravel(kg),Sand(kg),Asphalt(kg),Lime(kg),Glass(kg),Ceramic(kg),Total MS(t),material_sum
guiyang,203708832715.49615,15785812486.903757,4544283991.639219,99660669350.48578,159204547288.8426,125185723740.13539,477697069.58146495,3739757443.341149,375681739.3567946,566889275.379992,612311054.1840492,613249895101.1624
changchun,574005388595.4906,41211747938.239815,16471524393.522154,298074681937.9714,385607297093.4813,316003628336.717,1496038562.3709779,11112295190.549719,1072524466.985145,1528473653.4705036,1646893839.1392608,1646583600168.7983
foshan,515522476909.0367,45297433167.98946,13689321528.537249,299763987514.2675,451249559634.1436,344757104179.3489,1194274076.482041,9257488550.76867,1038455950.4018488,1933036723.9298344,1668075395.5274599,1683703138234.9058
lhasa,37149987504.6765,2585236157.120369,1209454627.2439868,21314773317.70395,25111664550.92484,20276117677.18094,104903426.18586852,683525721.1890162,67649567.12758745,135289741.7528035,108076055.19845597,108638602291.10587
nanning,269560697627.14743,21549371745.137917,5068932619.539189,131681679024.81879,225417746011.77347,174808278293.41724,549576681.3853918,4693326904.941086,482893785.2629738,719744721.507978,833475084.7287401,834532247414.9313
quanzhou,165421050764.1396,13689782064.185234,4532486681.744701,93241193588.7718,138044831042.69263,105767879245.12938,388858115.72839373,3024017266.513733,311531160.4015228,638189106.4008003,520193102.13584536,525059819035.7078
hangzhou,722282740325.5413,53994698087.70712,18599767532.505325,364425726883.7348,535493129789.79803,425348917849.8477,1700654169.065569,13207219432.020388,1297170436.255633,2017848635.055619,2134693907.2668598,2138367873141.5315
dalian,559311989389.9016,41507296305.48595,14747379010.688635,292850457887.7872,399261594796.85846,322378491424.3247,1377634461.847532,10441261084.564455,1046578038.142597,1500725309.53173,1643449177.31578,1644423407709.1328
tianjin,951648603046.3286,69569897346.47893,28320646575.5132,518873010899.2024,652781410229.7711,533056453792.4076,2444648211.6525836,18215043468.112133,1801830168.0764625,2615786306.060189,2772657993.6725163,2779327330043.603
nanjing,756302266399.1637,56082734059.73572,20366910916.019096,386393303672.8036,551364079286.4045,441290678082.78503,1820551025.2353098,13957368119.22814,1387171886.572883,2139820901.267359,2227859437.2572513,2231104884349.2153
suzhou,979541686122.5533,76048385995.88657,26153130456.909462,520673815682.00305,728827803014.7852,579633253721.9125,2442082194.7947965,18360229598.58877,1894044560.0240273,2828231929.2627263,2935132870.7305894,2936402663276.72
fuzhou,345674201934.6229,26793458328.320206,8818063267.44077,173609914696.617,274379639513.2963,214238674707.2369,804681877.1187483,6352379022.476098,639152328.1487237,1183285418.9341252,1049430578.3373185,1052493451094.2117
xining,174921914331.56055,13463952419.059807,4516481333.842871,85639564469.63606,122925623488.28822,99009036283.10194,485774589.80865943,3329160177.122676,359735465.8881439,498030102.9493001,508180133.67955136,505149272661.2582
chongqing,857453755035.5171,66043565555.16877,18269885565.762928,416339108946.55615,682127884319.4749,534077175144.99567,1851577603.9086533,15226869588.632938,1510202767.409828,2318045900.950692,2587312893.8343897,2595218070428.377
wenzhou,387880094344.28595,30462108341.99048,10376796852.392834,200294776627.72903,308049368280.4404,239323090985.19553,945876129.9335165,7151566013.957293,748736105.829019,1408058911.2604747,1185342127.3265586,1186640472593.015
shenyang,827833892143.5289,60344822943.15215,22579790398.79802,419761441183.7391,564272938961.7526,459869276869.4323,2021004121.5863907,15656612295.934826,1492329916.5806348,2153205309.923277,2384869430.520677,2375985314144.428
luoyang,176873537875.81927,13780988815.676546,4419684846.132761,92996307119.58415,142964254426.69836,111098900092.61662,383362803.06095314,3148622092.4261813,355811921.5975039,601175116.3143713,543140034.6172926,546622645109.9268
chengdu,1014683372853.649,74490331750.78337,25698843097.43306,517603994482.761,721635216933.8102,575857571333.3613,2472908486.323134,18770458769.014194,1848910530.669031,2736048666.34686,2953541591.558696,2955797656904.151
haikou,135015304276.45009,10483151954.41121,2699930381.6990595,64275506359.57109,108078670358.50981,84780088604.83601,284653574.33414805,2390872830.385017,229430446.53983557,329247398.50969726,408431418.0375551,408566856185.246
wuxi,476054522224.44196,36251896970.860916,12301270583.696056,255838635525.6373,358702401594.1111,284612572548.51654,1104548610.59571,8522277672.111362,881348153.0753837,1314587730.3772483,1437140433.3374314,1435584061613.4236
qingdao,509737922331.0993,37420168546.97006,13643780411.068943,266362845438.19974,359330537994.4151,287483392218.3397,1210283213.498257,9497480401.788954,895617467.8677655,1346152862.761652,1488242131.7252135,1486928180886.0095
